source_row_idx,ocid,tender_title,tender_datePublished,tender_procurementMethod,tender_numberOfTenderers,tender_value_amount,award_value_amount,buyer_name,supplier_name,flag_single_bidder,flag_short_title,flag_short_description,flag_q4_timing,flag_price_deviation,flag_high_value,flag_direct_procurement,flag_count,risk_label,verified_label,confidence,notes
955,ocds-20h3g7-5410474,Peningkatan SPAM Jaringan Perpipaan Kel. 19 Nopember Kec. Wundulako (DAK),2023-01-06 00:00:00,,,926520000.0,912865998.89,LPSE Kabupaten Kolaka,CV RIEVERA INDO PRATAMA,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
14722,ocds-20h3g7-8771624,Jasa Konsultan Pengawasan Pembangunan Ruang Kelas Baru (RKB) SDN 30 Air Dingin Kec Koto Tangah,2023-02-01 00:00:00,,,185232526.5,185098050.0,Pemerintah Daerah Kota Padang,CV. BINA CITRA CONSULTANT,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
4827,ocds-20h3g7-RUP-3071597-38830555,Pemeliharaan Jalan Simp. Jl. Nas. (Batangtoru) - Bandar Hapinis Kec. Batangtoru,2023-01-14 09:20:35,,,,,Pemerintah Daerah Kabupaten Tapanuli Selatan,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
29419,ocds-20h3g7-RUP-6181336-42039141,Pembangunan Ruang Laboratorium Komputer beserta perabotnya SD Negeri 1 Ringin Agung,2023-02-24 08:38:14,,,,,Pemerintah Daerah Kabupaten Seruyan,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
14213,ocds-20h3g7-RUP-5423197-40334753,Pembangunan Bangunan Perkuatan Tebing Sungai Desa Jati Baru Kec. Astambul,2023-01-31 15:16:09,,,,,Pemerintah Daerah Kabupaten Banjar,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
18440,ocds-20h3g7-RUP-5993311-41352809,Pembangunan Tribun Stadion  Musi Rawas (Stadion Gelora Herman Deru),2023-02-07 00:12:12,,,,,Pemerintah Daerah Kabupaten Musi Rawas,,False,False,False,False,False,False,False,0,0,,low,Insufficient context for confident assessment
23127,ocds-20h3g7-RUP-49661106-41627510,Pembangunan Jalan Gp. Pucok Alue Sa Kec. Simpang Ulim Kab. Aceh Timur,2023-02-13 21:04:49,,,,,Pemerintah Daerah Provinsi Aceh,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
18088,ocds-20h3g7-RUP-9533156-40168214,Rehabilitasi Ruang Guru SDN 19 Kayuagung Kec. Kayuagung ( 1 Ruang ),2023-02-06 15:38:22,,,,,Pemerintah Daerah Kabupaten Ogan Komering Ilir,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
13393,ocds-20h3g7-RUP-4678492-40828142,Peningkatan saluran pembuang sungai di Kawasan kantor Camat Poleang Tengah,2023-01-30 21:27:58,,,,,Pemerintah Daerah Kabupaten Bombana,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
18490,ocds-20h3g7-RUP-7031098-40646347,Belanja Jasa Konsultansi Pengawasan Wewengkon Adat Citorek (DAK Fisik) - Pengadaan/Pemeliharaan/Rehabilitasi Sarana dan Prasarana dalam Pengelolaan DestinasiPariwisata Kabupaten/Kota,2023-02-07 08:09:00,,,,,Pemerintah Daerah Kabupaten Lebak,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
8222,ocds-20h3g7-83135064,Supervisi Penyempurnaan Konstruksi Bangunan Pelengkap Bendungan Tanju dan Bendungan Mila di Kabupaten Dompu,2023-01-20 00:00:00,,,699984204.0,560768670.0,Kementerian Pekerjaan Umum dan Perumahan Rakyat,CV. PATOYA INDAH,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
25222,ocds-20h3g7-RUP-2862373-40966252,PEMBANGUNAN RUANG PERPUSTAKAAN BESERTA PERABOTNYA (DAK) SDN 105 ADIAN JIOR,2023-02-16 14:03:01,,,,,Pemerintah Daerah Kabupaten Mandailing Natal,,False,False,False,False,False,False,False,0,0,0.0,medium,Adjusted from 0 to 0 based on context
4876,ocds-20h3g7-RUP-3121597-38830717,Peningkatan Jalan Simp. Jl. Propinsi - Mesjid Nurul Yaqin Bunga Bondar X Kec. Arse,2023-01-14 09:23:58,,,,,Pemerintah Daerah Kabupaten Tapanuli Selatan,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
20083,ocds-20h3g7-RUP-3669305-41490021,Belanja Modal Bangunan Pengaman Pengamanan Sungai/Pantai (Penanganan Pasca Bencana),2023-02-08 20:41:36,,,,,Pemerintah Daerah Kabupaten Lampung Barat,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
24884,ocds-20h3g7-RUP-15146025-38811028,Jasa konsultansi pengawasan pembangunan gedung Kantor Bahasa Provinsi Gorontalo,2023-02-16 06:29:41,,,,,Kementerian Pendidikan dan Kebudayaan,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
2091,ocds-20h3g7-RUP-11991415-39187868,Rehabilitasi Sedang/ Berat Ruang Kelas SDN Binangun II Singgahan,2023-01-09 07:31:04,,,,,Pemerintah Daerah Kabupaten Tuban,,False,False,False,False,False,False,False,0,0,0.0,high,Consistent with observed red flags
